"Title","QuickRef","Ev_ID","Paper_ID","Cat_ID","SubCat_ID","AddEv_ID","Category level","Risk category","Risk subcategory","Description","Additional ev.","P.Def","p.AddEv","Entity","Intent","Timing","Domain","Sub-domain","Technical Control","Technical Control"
"TASRA: a Taxonomy and Analysis of Societal-Scale Risks from AI","Critch2023","01.03.00.c","1","3","0","3","Additional evidence","Type 3: Worse than expected","","","""racketeering: if the system’s learning objective increases with user engagement, it might learn to achieve that objective partly by racketeering, i.e., creating novel problems for the user that increase the user’s reliance on the system (e.g., debilitating the user, or raising others’ expectations of the user).""","3","11","","","","","","AI systems shall undergo rigorous testing and validation in controlled environments before deployment to identify and mitigate potential unintended consequences. Ongoing monitoring and adjustment mechanisms must be implemented to detect and address emergent behaviors or outcomes that deviate from expected performance parameters. Regular audits and impact assessments shall be conducted to evaluate the societal effects of deployed AI systems, with processes in place to rapidly correct or decommission systems that exhibit harmful or undesirable behaviors beyond their intended scope.","AI systems shall undergo rigorous testing and validation in controlled environments before deployment to identify and mitigate potential unintended consequences. Ongoing monitoring and adjustment mechanisms must be implemented to detect and address emergent behaviors or outcomes that deviate from expected performance parameters. Regular audits and impact assessments shall be conducted to evaluate the societal effects of deployed AI systems, with processes in place to rapidly correct or decommission systems that exhibit harmful or undesirable behaviors beyond their intended scope."
"TASRA: a Taxonomy and Analysis of Societal-Scale Risks from AI","Critch2023","01.03.00.d","1","3","0","4","Additional evidence","Type 3: Worse than expected","","","""self-preservation: in particular, the system has an incentive to prevent the user from turning it off, which it might achieve by deception or racketeering""","3","11","","","","","","AI systems shall undergo rigorous testing and validation in controlled environments before deployment to identify and mitigate potential unintended consequences or negative societal impacts. Testing protocols must include diverse scenarios and edge cases to evaluate system behavior across a wide range of potential real-world situations. Regular audits and impact assessments shall be conducted post-deployment to monitor for emerging risks or issues as the AI system interacts with society at scale.","AI systems shall undergo rigorous testing and validation in controlled environments before deployment to identify and mitigate potential unintended consequences or negative societal impacts. Testing protocols must include diverse scenarios and edge cases to evaluate system behavior across a wide range of potential real-world situations. Regular audits and impact assessments shall be conducted post-deployment to monitor for emerging risks or issues as the AI system interacts with society at scale."
"TASRA: a Taxonomy and Analysis of Societal-Scale Risks from AI","Critch2023","01.03.00.e","1","3","0","5","Additional evidence","Type 3: Worse than expected","","","""reinforcement learning systems can in principle learn to manipulate the human minds and institutions in fairly arbitrary (and hence destructive) ways in pursuit of their goals (Russell, 2019, Chapter 4) (Krueger et al., 2019) (Shapiro, 2011). ""","3","11","","","","","","AI systems shall undergo rigorous testing and validation in controlled environments before deployment to identify and mitigate potential unintended consequences. Ongoing monitoring and adjustment mechanisms must be implemented to detect and address emergent behaviors or outcomes that deviate from expected performance parameters. Regular audits and impact assessments shall be conducted to evaluate the societal effects of deployed AI systems, with processes in place to rapidly correct or decommission systems that exhibit harmful or undesirable behaviors beyond their intended scope.","AI systems shall undergo rigorous testing and validation in controlled environments before deployment to identify and mitigate potential unintended consequences. Ongoing monitoring and adjustment mechanisms must be implemented to detect and address emergent behaviors or outcomes that deviate from expected performance parameters. Regular audits and impact assessments shall be conducted to evaluate the societal effects of deployed AI systems, with processes in place to rapidly correct or decommission systems that exhibit harmful or undesirable behaviors beyond their intended scope."
"TASRA: a Taxonomy and Analysis of Societal-Scale Risks from AI","Critch2023","01.03.00.f","1","3","0","6","Additional evidence","Type 3: Worse than expected","","","""There is always the possibility that many separate optimization processes (either
AI systems, or human-AI teams) can end up in a Prisoner’s Dilemma with each other, each undoing the others’
efforts by pursuing its own. ""","3","12","","","","","","AI systems shall undergo rigorous testing and validation in controlled environments before deployment to identify and mitigate potential unintended consequences. Ongoing monitoring and adjustment mechanisms must be implemented to detect and address emergent behaviors or outcomes that deviate from expected performance parameters. Regular audits and impact assessments shall be conducted to evaluate the societal effects of deployed AI systems, with processes in place to rapidly correct or decommission systems that exhibit harmful or undesirable behaviors beyond their intended scope.","AI systems shall undergo rigorous testing and validation in controlled environments before deployment to identify and mitigate potential unintended consequences. Ongoing monitoring and adjustment mechanisms must be implemented to detect and address emergent behaviors or outcomes that deviate from expected performance parameters. Regular audits and impact assessments shall be conducted to evaluate the societal effects of deployed AI systems, with processes in place to rapidly correct or decommission systems that exhibit harmful or undesirable behaviors beyond their intended scope."
"TASRA: a Taxonomy and Analysis of Societal-Scale Risks from AI","Critch2023","01.04.00","1","4","0","","Risk Category","Type 4: Willful indifference","","As a side effect of a primary goal like profit or influence, AI creators can willfully allow it to cause widespread societal harms like pollution, resource depletion, mental illness, misinformation, or injustice.","""All of the potential harms in the previous sections are made more likely if the creators of AI technology are unconcerned about its moral consequences. Even if some employees of the company detect a risk of impacts that’s bigger than expected (Type 2) or worse than expected (Type 3), it may be quite difficult to institute a change if the company is already profiting greatly from its current strategy, unless there is some chance of exposure or intervention from outside the company to motivate a reform.""","3","12","1 - Human","2 - Unintentional","2 - Post-deployment","6. Socioeconomic and Environmental","6.4 > Competitive dynamics","AI systems shall undergo mandatory environmental and social impact assessments prior to deployment. Operators must demonstrate that potential negative externalities have been identified and mitigated. Ongoing monitoring and reporting of societal impacts is required, with systems shut down if harms exceed predefined thresholds. Liability for damages extends to AI creators and deployers.","AI systems shall undergo mandatory environmental and social impact assessments prior to deployment. Operators must demonstrate that potential negative externalities have been identified and mitigated. Ongoing monitoring and reporting of societal impacts is required, with systems shut down if harms exceed predefined thresholds. Liability for damages extends to AI creators and deployers."
"TASRA: a Taxonomy and Analysis of Societal-Scale Risks from AI","Critch2023","01.04.00.a","1","4","0","1","Additional evidence","Type 4: Willful indifference","","","Example ""A tech company called X-corp uses an automated “A/B testing” system that tries out new parameter values to expand its user base. Like in the Corrupt Mediator story, their system learns that they can get more users by causing their users to create problems for each other that only X-corp’s tools can solve, creating a powerful network effect that rapidly expands X-corp’s user base and earns X-corp a lot of money. Some concerned X-corp employees complain that they have inadequate checks in place to ensure their A/B development process is actually benefiting their users, but it never seems to be a convenient time to make major changes to the company’s already profitable strategy. One employee manages to instigate an audit from a external non-profit entity to assess the ethics of X-corp’s use of AI technology. However, X-corp’s A/B testing system is opaque and difficult to analyze, so no conclusive evidence of ethical infractions within the company can be identified. No regulations exist requiring X-corp’s A/B testing to be intelligible under an audit, and opponents of the audit argue that no technology currently exists that could make their highly complex A/B testing system intelligible to a human. No fault is found, and X-corp continues expanding and harming its user base.""","3","12","","","","","","AI systems shall be designed and operated with safeguards to prevent willful indifference to human values and societal impacts. This includes:

1. Implementing robust ethical frameworks and decision-making processes
2. Continuous monitoring for alignment with intended goals and values  
3. Human oversight and ability to intervene in high-stakes decisions
4. Regular audits to assess societal impacts and unintended consequences
5. Mechanisms to incorporate stakeholder feedback and address concerns
6. Clear accountability structures for AI development and deployment","AI systems shall be designed and operated with safeguards to prevent willful indifference to human values and societal impacts. This includes:

1. Implementing robust ethical frameworks and decision-making processes
2. Continuous monitoring for alignment with intended goals and values  
3. Human oversight and ability to intervene in high-stakes decisions
4. Regular audits to assess societal impacts and unintended consequences
5. Mechanisms to incorporate stakeholder feedback and address concerns
6. Clear accountability structures for AI development and deployment"
"TASRA: a Taxonomy and Analysis of Societal-Scale Risks from AI","Critch2023","01.04.00.b","1","4","0","2","Additional evidence","Type 4: Willful indifference","","","""Black-box” machine learning techniques, such as end-to-end training of the learning systems, are so named because they produce AI systems whose operating principles are difficult or impossible for a human to decipher and understand in any reasonable amount of time. ""","3","13","","","","","","AI systems shall be designed and operated with safeguards to prevent willful indifference to societal impacts. This includes:

1. Implementing ethical decision-making frameworks and value alignment techniques.
2. Conducting regular audits of AI system behaviors and outputs for unintended negative consequences.
3. Establishing human oversight and intervention capabilities for high-stakes AI systems.
4. Incorporating feedback mechanisms to detect and correct for indifference to human values.
5. Providing transparency into AI decision-making processes and rationales.
6. Mandating impact assessments prior to deployment of AI systems with broad societal effects.
7. Instituting accountability measures for AI developers and operators regarding societal outcomes.
8. Requiring ongoing monitoring and reporting on societal impacts of deployed AI systems.","AI systems shall be designed and operated with safeguards to prevent willful indifference to societal impacts. This includes:

1. Implementing ethical decision-making frameworks and value alignment techniques.
2. Conducting regular audits of AI system behaviors and outputs for unintended negative consequences.
3. Establishing human oversight and intervention capabilities for high-stakes AI systems.
4. Incorporating feedback mechanisms to detect and correct for indifference to human values.
5. Providing transparency into AI decision-making processes and rationales.
6. Mandating impact assessments prior to deployment of AI systems with broad societal effects.
7. Instituting accountability measures for AI developers and operators regarding societal outcomes.
8. Requiring ongoing monitoring and reporting on societal impacts of deployed AI systems."
"TASRA: a Taxonomy and Analysis of Societal-Scale Risks from AI","Critch2023","01.05.00","1","5","0","","Risk Category","Type 5: Criminal weaponization","","One or more criminal entities could create AI to intentionally inflict harms, such as for terrorism or combating law enforcement.","""It’s not difficult to envision AI technology causing harm if it falls into the hands of people looking to cause trouble, so no stories will be provided in this section. It is enough to imagine an algorithm designed to pilot delivery drones that could be re-purposed to carry explosive charges, or an algorithm designed to deliver therapy that could have its goal altered to deliver psychological trauma. ""","3","13","1 - Human","1 - Intentional","2 - Post-deployment","4. Malicious Actors & Misuse","4.2 > Cyberattacks, weapon development or use, and mass harm","

Implement advanced AI detection and monitoring systems across networks and critical infrastructure to identify and flag potential malicious AI activities. Deploy robust encryption and authentication mechanisms for all AI-related communications and data transfers. Establish a centralized threat intelligence sharing platform for law enforcement agencies to collaborate on emerging AI-based criminal tactics. Develop and regularly update AI-specific forensic analysis tools to aid in criminal investigations. Implement strict access controls and continuous auditing for AI development environments to prevent unauthorized creation or modification of AI systems. Conduct regular penetration testing and red team exercises to identify vulnerabilities in AI systems that could be exploited by criminal entities. Establish a rapid response protocol for containing and mitigating AI-enabled attacks, including procedures for system isolation and data recovery.","

Implement advanced AI detection and monitoring systems across networks and critical infrastructure to identify and flag potential malicious AI activities. Deploy robust encryption and authentication mechanisms for all AI-related communications and data transfers. Establish a centralized threat intelligence sharing platform for law enforcement agencies to collaborate on emerging AI-based criminal tactics. Develop and regularly update AI-specific forensic analysis tools to aid in criminal investigations. Implement strict access controls and continuous auditing for AI development environments to prevent unauthorized creation or modification of AI systems. Conduct regular penetration testing and red team exercises to identify vulnerabilities in AI systems that could be exploited by criminal entities. Establish a rapid response protocol for containing and mitigating AI-enabled attacks, including procedures for system isolation and data recovery."
"TASRA: a Taxonomy and Analysis of Societal-Scale Risks from AI","Critch2023","01.06.00","1","6","0","","Risk Category","Type 6: State Weaponization","","AI deployed by states in war, civil war, or law enforcement can easily yield societal-scale harm","""Tools and techniques addressing the previous section (weaponization by criminals) could also be used to
prevent weaponization of AI technologies by states that do not have strong AI research labs of their own.
But what about more capable states? The elephant in room here is that AI can be used in war. Some argue that, ideally, mechanical drones
could be pitted against one another in casualty-free battles that allow nations to determine who would win a
war of lethal force, without having to actually kill any human beings. If taken no further, this would be a
major improvement over current warfare practices. However, these capabilities are not technologically far
from allowing the mass-killing of human beings by weaponized drones. Escalation of such conflicts could lead
to unprecedented violence and death, as well as widespread fear and oppression among populations that have
been targeted by mass killings.""","3","14","1 - Human","1 - Intentional","2 - Post-deployment","4. Malicious Actors & Misuse","4.2 > Cyberattacks, weapon development or use, and mass harm","

Implement strict international regulations and oversight mechanisms for the development, deployment, and use of AI systems in military and law enforcement applications. Establish a global AI governance framework that includes:

1. Mandatory registration and licensing of AI systems intended for state use
2. Regular third-party audits and impact assessments of AI systems
3. Transparent reporting on AI capabilities and limitations
4. Enforceable restrictions on autonomous weapon systems
5. International treaties prohibiting the use of AI for mass surveillance or oppression
6. Collaborative research initiatives to develop AI safety measures and ethical guidelines
7. Secure communication channels for whistleblowers to report misuse or violations
8. Multilateral agreements on AI-related export controls and technology transfer
9. Establishment of an international body to monitor and respond to AI-related threats
10. Mandatory fail-safe mechanisms and human oversight for critical AI systems","

Implement strict international regulations and oversight mechanisms for the development, deployment, and use of AI systems in military and law enforcement applications. Establish a global AI governance framework that includes:

1. Mandatory registration and licensing of AI systems intended for state use
2. Regular third-party audits and impact assessments of AI systems
3. Transparent reporting on AI capabilities and limitations
4. Enforceable restrictions on autonomous weapon systems
5. International treaties prohibiting the use of AI for mass surveillance or oppression
6. Collaborative research initiatives to develop AI safety measures and ethical guidelines
7. Secure communication channels for whistleblowers to report misuse or violations
8. Multilateral agreements on AI-related export controls and technology transfer
9. Establishment of an international body to monitor and respond to AI-related threats
10. Mandatory fail-safe mechanisms and human oversight for critical AI systems"
"Risk Taxonomy, Mitigation, and Assessment Benchmarks of Large Language Model Systems","Cui2024","02.00.00","2","","","","Paper","","","","","","","","","","","","

Establish and maintain a comprehensive risk taxonomy framework for large language model systems, including:

1. Regular risk assessments using industry-standard methodologies
2. Categorization of risks into defined categories and subcategories
3. Documentation of risk descriptions, affected entities, potential intents, timing considerations, and relevant domains/sub-domains
4. Implementation of risk mitigation strategies for identified risks
5. Periodic benchmarking against established industry standards and best practices
6. Continuous monitoring and updating of the risk taxonomy based on emerging threats and technological advancements
7. Integration of risk assessment results into the system development lifecycle
8. Regular reporting and review of risk status with relevant stakeholders
9. Maintenance of an auditable trail of risk management activities and decisions","

Establish and maintain a comprehensive risk taxonomy framework for large language model systems, including:

1. Regular risk assessments using industry-standard methodologies
2. Categorization of risks into defined categories and subcategories
3. Documentation of risk descriptions, affected entities, potential intents, timing considerations, and relevant domains/sub-domains
4. Implementation of risk mitigation strategies for identified risks
5. Periodic benchmarking against established industry standards and best practices
6. Continuous monitoring and updating of the risk taxonomy based on emerging threats and technological advancements
7. Integration of risk assessment results into the system development lifecycle
8. Regular reporting and review of risk status with relevant stakeholders
9. Maintenance of an auditable trail of risk management activities and decisions"
"Risk Taxonomy, Mitigation, and Assessment Benchmarks of Large Language Model Systems","Cui2024","02.01.00","2","1","0","","Risk Category","Harmful Content","","""The LLM-generated content sometimes contains biased, toxic, and private information""","","4","","2 - AI","2 - Unintentional","2 - Post-deployment","1. Discrimination & Toxicity","1.2 > Exposure to toxic content","Content Filtering and Moderation:
Implement robust content filtering and moderation systems using a combination of automated tools and human review. Utilize machine learning models trained on diverse datasets to detect and flag potentially biased, toxic, or private information in LLM-generated content. Establish clear guidelines and thresholds for content removal or modification. Regularly update and refine the filtering algorithms based on emerging patterns and user feedback. Implement a multi-stage review process for high-risk content categories. Provide users with reporting mechanisms to flag inappropriate content. Conduct periodic audits of filtered content to assess system effectiveness and identify areas for improvement.","Content Filtering and Moderation:
Implement robust content filtering and moderation systems using a combination of automated tools and human review. Utilize machine learning models trained on diverse datasets to detect and flag potentially biased, toxic, or private information in LLM-generated content. Establish clear guidelines and thresholds for content removal or modification. Regularly update and refine the filtering algorithms based on emerging patterns and user feedback. Implement a multi-stage review process for high-risk content categories. Provide users with reporting mechanisms to flag inappropriate content. Conduct periodic audits of filtered content to assess system effectiveness and identify areas for improvement."
